TIME,GEO,Value,scaleval1,scaleval2
2000,European Union (28 countries),5.203988919667592,0.3919036964026293,-8.96658993082562e-16
2001,European Union (28 countries),5.203988919667592,0.3919036964026293,-8.96658993082562e-16
2002,European Union (28 countries),5.0,0.357504215851602,-0.2059366623328885
2003,European Union (28 countries),5.03,0.3625632377740304,-0.1756502140294505
2004,European Union (28 countries),4.95,0.34907251264755484,-0.25641407617195117
2005,European Union (28 countries),4.92,0.34401349072512644,-0.2867005244753892
2006,European Union (28 countries),4.91,0.342327150084317,-0.29679600724320154
2007,European Union (28 countries),4.92,0.34401349072512644,-0.2867005244753892
2008,European Union (28 countries),5.04,0.3642495784148398,-0.16555473126163814
2009,European Union (28 countries),5.38,0.4215851602023608,0.1776916828439893
2010,European Union (28 countries),5.41,0.4266441821247892,0.20797813114742728
2011,European Union (28 countries),5.25,0.3996627318718381,0.04645040686242592
2000,European Union (27 countries),4.91,0.342327150084317,-0.29679600724320154
2001,European Union (27 countries),4.99,0.3558178752107926,-0.21603214510070085
2002,European Union (27 countries),5.0,0.357504215851602,-0.2059366623328885
2003,European Union (27 countries),5.04,0.3642495784148398,-0.16555473126163814
2004,European Union (27 countries),4.95,0.34907251264755484,-0.25641407617195117
2005,European Union (27 countries),4.92,0.34401349072512644,-0.2867005244753892
2006,European Union (27 countries),4.91,0.342327150084317,-0.29679600724320154
2007,European Union (27 countries),4.93,0.34569983136593585,-0.2766050417075768
2008,European Union (27 countries),5.04,0.3642495784148398,-0.16555473126163814
2009,European Union (27 countries),5.38,0.4215851602023608,0.1776916828439893
2010,European Union (27 countries),5.41,0.4266441821247892,0.20797813114742728
2011,European Union (27 countries),5.25,0.3996627318718381,0.04645040686242592
2000,European Union (25 countries),4.94,0.34738617200674543,-0.2665095589397635
2001,European Union (25 countries),5.02,0.3608768971332208,-0.18574569679726377
2002,European Union (25 countries),5.03,0.3625632377740304,-0.1756502140294505
2003,European Union (25 countries),5.06,0.3676222596964586,-0.14536376572601342
2004,European Union (25 countries),4.98,0.3541315345699832,-0.2261276278685132
2005,European Union (25 countries),4.95,0.34907251264755484,-0.25641407617195117
2006,European Union (25 countries),4.93,0.34569983136593585,-0.2766050417075768
2007,European Union (25 countries),4.95,0.34907251264755484,-0.25641407617195117
2008,European Union (25 countries),5.06,0.3676222596964586,-0.14536376572601342
2009,European Union (25 countries),5.41,0.4266441821247892,0.20797813114742728
2010,European Union (25 countries),5.46,0.4350758853288364,0.25845554498649
2011,European Union (25 countries),5.31,0.4097807757166947,0.10702330346930099
2000,Euro area (18 countries),5.203988919667592,0.3919036964026293,-8.96658993082562e-16
2001,Euro area (18 countries),5.203988919667592,0.3919036964026293,-8.96658993082562e-16
2002,Euro area (18 countries),4.87,0.33558178752107926,-0.33717793831445186
2003,Euro area (18 countries),4.89,0.3389544688026981,-0.31698697277882715
2004,Euro area (18 countries),4.8,0.32377740303541314,-0.4078463176891402
2005,Euro area (18 countries),4.72,0.31028667790893755,-0.4886101798316409
2006,Euro area (18 countries),4.69,0.3052276559865093,-0.518896628135078
2007,Euro area (18 countries),4.79,0.3220910623946037,-0.41794180045695256
2008,Euro area (18 countries),4.94,0.34738617200674543,-0.2665095589397635
2009,Euro area (18 countries),5.31,0.4097807757166947,0.10702330346930099
2010,Euro area (18 countries),5.28,0.40472175379426645,0.0767368551658639
2011,Euro area (18 countries),5.15,0.38279932546374373,-0.054504420815699485
2000,Euro area (17 countries),5.203988919667592,0.3919036964026293,-8.96658993082562e-16
2001,Euro area (17 countries),5.203988919667592,0.3919036964026293,-8.96658993082562e-16
2002,Euro area (17 countries),4.86,0.33389544688026984,-0.3472734210822642
2003,Euro area (17 countries),4.89,0.3389544688026981,-0.31698697277882715
2004,Euro area (17 countries),4.8,0.32377740303541314,-0.4078463176891402
2005,Euro area (17 countries),4.72,0.31028667790893755,-0.4886101798316409
2006,Euro area (17 countries),4.69,0.3052276559865093,-0.518896628135078
2007,Euro area (17 countries),4.79,0.3220910623946037,-0.41794180045695256
2008,Euro area (17 countries),4.94,0.34738617200674543,-0.2665095589397635
2009,Euro area (17 countries),5.31,0.4097807757166947,0.10702330346930099
2010,Euro area (17 countries),5.28,0.40472175379426645,0.0767368551658639
2011,Euro area (17 countries),5.15,0.38279932546374373,-0.054504420815699485
2000,Euro area (15 countries),5.203988919667592,0.3919036964026293,-8.96658993082562e-16
2001,Euro area (15 countries),4.98,0.3541315345699832,-0.2261276278685132
2002,Euro area (15 countries),5.01,0.35919055649241144,-0.19584117956507613
