Student Name,Gender,Attendance,Feedback,Study Hours,Data Science Marks
Student1,F,70,The Data Science course content is comprehensive and well-structured.!,14,69
Student2,M,93,"The Data Science lab sessions provide valuable hands-on experience.,",5,29
Student3,F,88,I find the practical exercises in Data Science very helpful.?,3,17
Student4,F,74,"I liked this course very much. The way it is organised to collect different data scientists opinions about the same topic, make it very valuable to the ones who are starting the road to Data Science.?",15,71
Student5,M,95,I throughly enjoyed the course and the fact that everything was explained thoroughly. I always enjoyed Dr. White personal experience with Data Science as well as other Data Scientists point of view. ;,10,45
Student6,F,96,Enjoyed the lectures;,8,36
Student7,F,90,"I liked this course very much. The way it is organised to collect different data scientists opinions about the same topic, make it very valuable to the ones who are starting the road to Data Science.,",15,75
Student8,M,91,I throughly enjoyed the course and the fact that everything was explained thoroughly. I always enjoyed Dr. White personal experience with Data Science as well as other Data Scientists point of view. ?,14,68
Student9,F,76,Too much theory?,15,77
Student10,F,80,Needs more practical sessions?,7,38
Student11,M,70,Very nice course and it has a piece of very nice information taught by professionals. The content is related to the practical application of concepts which increase interest in you to proceed further?,9,48
Student12,M,91,Too much theory!,12,59
Student13,F,71,"I find the Data Science course material engaging and relevant.,",1,5
Student14,F,83,The Data Science course content is comprehensive and well-structured.;,2,15
Student15,M,79,The Data Science course content is comprehensive and well-structured.?,2,15
Student16,F,72,I wish there were more interactive sessions in the Data Science course.?,1,6
Student17,M,83,Interesting topics;,8,38
Student18,F,74,I find the practical exercises in Data Science very helpful.!,12,64
Student19,M,86,I appreciate the guest lectures by industry professionals in the Data Science course.!,4,17
Student20,?,76,"Great course!,",7,31
Student21,M,70,Good for fundamental knowledge of data science and data scientists. It is also inspiring for young people like me to get ready to step into the world of data science.:,10,54
Student22,M,93,Enjoyed the lectures:,15,73
Student23,F,80,very useful. i liked and enjoyed the journey of learning in these five weeks. the instructor is very clear and taught very interestingly. Thanks to her. she looked poised and cheerful and professional !,1,8
Student24,F,97,"The Data Science assignments are challenging but rewarding.,",8,39
Student25,M,75,Very nice course and it has a piece of very nice information taught by professionals. The content is related to the practical application of concepts which increase interest in you to proceed further:,11,50
Student26,M,85,The Data Science course content is comprehensive and well-structured.;,8,39
Student27,M,96,Too much theory!,11,55
Student28,F,83,The instructor explanations in Data Science lectures are clear and easy to understand.;,10,54
Student29,M,86,"I find the Data Science course material engaging and relevant.,",12,60
Student30,F,84,This course is not consistent with someone who would sign up for an entire certificate. This course is more suitable as a recruitment tool for a certificate program. Watching these videos was an absolute waste of my time.,3,14
Student31,F,83,I would like more resources for self-study in Data Science.?,9,47
Student32,M,76,"I appreciate the guest lectures by industry professionals in the Data Science course.,",15,74
Student33,F,79,The Data Science lab sessions provide valuable hands-on experience.!,5,30
Student34,F,88,I find the practical exercises in Data Science very helpful.;,5,29
Student35,M,76,I would like more resources for self-study in Data Science.?,12,57
Student36,F,84,The Data Science course content is comprehensive and well-structured.;,14,67
Student37,M,96,"Terrific introduction to the Data Science course. Never expected but was extremely excited with the quality of content, speakers and a very honest attempt to making this course interesting. ,",5,23
Student38,F,93,"Terrific introduction to the Data Science course. Never expected but was extremely excited with the quality of content, speakers and a very honest attempt to making this course interesting. ;",1,9
Student39,M,95,I find the Data Science course material engaging and relevant.;,14,72
Student40,F,83,"I would like more resources for self-study in Data Science.,",10,53
Student41,F,84,"Very nice course and it has a piece of very nice information taught by professionals. The content is related to the practical application of concepts which increase interest in you to proceed further,",2,11
Student42,F,88,I am enjoying learning about Data Science and its applications.;,1,1
Student43,M,90,"I liked this course very much. The way it is organised to collect different data scientists opinions about the same topic, make it very valuable to the ones who are starting the road to Data Science.;",2,13
Student44,F,95,Too much theory:,9,45
Student45,F,85,"Very nice course and it has a piece of very nice information taught by professionals. The content is related to the practical application of concepts which increase interest in you to proceed further,",9,45
Student46,F,71,Interesting topics:,13,65
Student47,M,99,Very nice course and it has a piece of very nice information taught by professionals. The content is related to the practical application of concepts which increase interest in you to proceed further!,14,65
Student48,M,71,Very nice course and it has a piece of very nice information taught by professionals. The content is related to the practical application of concepts which increase interest in you to proceed further:,5,28
Student49,M,70,Enjoyed the lectures;,4,20
Student50,F,85,very useful. i liked and enjoyed the journey of learning in these five weeks. the instructor is very clear and taught very interestingly. Thanks to her. she looked poised and cheerful and professional :,13,66
Student51,F,88,I would like more resources for self-study in Data Science.?,2,5
Student52,M,73,The Data Science assignments are challenging but rewarding.;,6,29
Student53,M,72,Too much theory:,13,62
Student54,F,80,Very nice course and it has a piece of very nice information taught by professionals. The content is related to the practical application of concepts which increase interest in you to proceed further:,9,48
Student55,F,93,The instructor explanations in Data Science lectures are clear and easy to understand.!,13,61
Student56,F,86,I am enjoying learning about Data Science and its applications.;,8,38
Student57,M,74,"Very learning experience, I am a beginner in DS, but the instructors in this course simplified the contents that made me I could easily understand, tools and materials were very helpful to start with. ;",10,47
Student58,F,92,"I find the practical exercises in Data Science very helpful.,",4,23
Student59,M,98,I am enjoying learning about Data Science and its applications.?,6,27
Student60,M,78,"I liked this course very much. The way it is organised to collect different data scientists opinions about the same topic, make it very valuable to the ones who are starting the road to Data Science.?",11,50
Student61,M,70,The Data Science assignments are challenging but rewarding.?,14,72
Student62,M,94,Great course!;,9,40
Student63,F,96,The instructor explanations in Data Science lectures are clear and easy to understand.:,10,55
Student64,M,78,"Interesting topics,",10,45
Student65,F,73,I appreciate the guest lectures by industry professionals in the Data Science course.:,15,76
Student66,M,85,I find the practical exercises in Data Science very helpful.:,11,58
Student67,M,84,"Good for fundamental knowledge of data science and data scientists. It is also inspiring for young people like me to get ready to step into the world of data science.,",4,18
Student68,M,79,Very nice course and it has a piece of very nice information taught by professionals. The content is related to the practical application of concepts which increase interest in you to proceed further;,9,49
Student69,M,74,I am enjoying learning about Data Science and its applications.?,12,58
Student70,F,85,The Data Science lab sessions provide valuable hands-on experience.;,8,39
Student71,F,75,I find the Data Science course material engaging and relevant.?,3,14
Student72,F,85,"The Data Science lab sessions provide valuable hands-on experience.,",9,41
Student73,F,73,Great course!;,13,68
Student74,M,91,The Data Science course content is comprehensive and well-structured.?,12,64
Student75,F,90,I am enjoying learning about Data Science and its applications.?,5,28
Student76,F,84,I am enjoying learning about Data Science and its applications.:,1,8
Student77,M,72,The Data Science lab sessions provide valuable hands-on experience.?,11,58
Student78,M,88,"Great course!,",8,35
Student79,M,78,"very useful. i liked and enjoyed the journey of learning in these five weeks. the instructor is very clear and taught very interestingly. Thanks to her. she looked poised and cheerful and professional ,",5,27
Student80,F,74,very useful. i liked and enjoyed the journey of learning in these five weeks. the instructor is very clear and taught very interestingly. Thanks to her. she looked poised and cheerful and professional ;,5,27
Student81,F,85,"Good for fundamental knowledge of data science and data scientists. It is also inspiring for young people like me to get ready to step into the world of data science.,",2,8
Student82,M,96,The Data Science course content is comprehensive and well-structured.;,9,49
Student83,F,72,Very nice course and it has a piece of very nice information taught by professionals. The content is related to the practical application of concepts which increase interest in you to proceed further?,6,25
Student84,M,77,"I appreciate the guest lectures by industry professionals in the Data Science course.,",11,50
Student85,M,93,The Data Science lab sessions provide valuable hands-on experience.!,10,45
Student86,F,83,The Data Science assignments are challenging but rewarding.:,12,57
Student87,M,99,Very nice course and it has a piece of very nice information taught by professionals. The content is related to the practical application of concepts which increase interest in you to proceed further;,3,19
Student88,F,98,I find the practical exercises in Data Science very helpful.?,7,32
Student89,M,72,The Data Science assignments are challenging but rewarding.?,2,8
Student90,M,85,"Poor course overall, not much ""meat"". An introduction to the subject that could have been given in one hour of lessons. ;",7,40
Student91,M,76,"The Data Science course content is comprehensive and well-structured.,",12,56
Student92,M,78,Good for fundamental knowledge of data science and data scientists. It is also inspiring for young people like me to get ready to step into the world of data science.;,15,80
Student93,F,72,The instructor explanations in Data Science lectures are clear and easy to understand.?,11,60
Student94,M,77,very useful. i liked and enjoyed the journey of learning in these five weeks. the instructor is very clear and taught very interestingly. Thanks to her. she looked poised and cheerful and professional !,2,13
Student95,M,97,"Very nice course and it has a piece of very nice information taught by professionals. The content is related to the practical application of concepts which increase interest in you to proceed further,",11,59
Student96,F,81,I wish there were more interactive sessions in the Data Science course.;,5,28
Student97,M,86,This course is not consistent with someone who would sign up for an entire certificate. This course is more suitable as a recruitment tool for a certificate program. Watching these videos was an absolute waste of my time.,10,54
Student98,F,97,Good for fundamental knowledge of data science and data scientists. It is also inspiring for young people like me to get ready to step into the world of data science.!,13,66
Student99,F,83,Enjoyed the lectures:,10,46
Student100,F,85,"I am enjoying learning about Data Science and its applications.,",13,62
Student101,M,88,Good for fundamental knowledge of data science and data scientists. It is also inspiring for young people like me to get ready to step into the world of data science.!,15,77
Student102,F,97,I throughly enjoyed the course and the fact that everything was explained thoroughly. I always enjoyed Dr. White personal experience with Data Science as well as other Data Scientists point of view. :,9,48
Student103,M,73,Too much theory!,13,63
Student104,F,72,Needs more practical sessions;,9,48
Student105,F,82,I would like more resources for self-study in Data Science.:,6,28
Student106,F,78,"The instructor explanations in Data Science lectures are clear and easy to understand.,",3,11
Student107,M,82,Too much theory;,15,76
Student108,F,98,"I am enjoying learning about Data Science and its applications.,",12,63
Student109,F,81,"Very learning experience, I am a beginner in DS, but the instructors in this course simplified the contents that made me I could easily understand, tools and materials were very helpful to start with. ;",4,16
Student110,M,95,I wish there were more interactive sessions in the Data Science course.;,4,22
Student111,F,90,Great course!!,9,45
Student112,F,84,The instructor explanations in Data Science lectures are clear and easy to understand.;,4,23
Student113,F,72,Enjoyed the lectures;,4,19
Student114,M,72,"Very nice course and it has a piece of very nice information taught by professionals. The content is related to the practical application of concepts which increase interest in you to proceed further,",5,20
Student115,F,96,I appreciate the guest lectures by industry professionals in the Data Science course.:,6,29
Student116,M,71,Great course!!,8,44
Student117,M,95,"I liked this course very much. The way it is organised to collect different data scientists opinions about the same topic, make it very valuable to the ones who are starting the road to Data Science.?",12,61
Student118,M,75,The Data Science assignments are challenging but rewarding.?,1,10
Student119,F,94,The Data Science lab sessions provide valuable hands-on experience.?,5,26
Student120,F,85,I am enjoying learning about Data Science and its applications.?,9,43
Student121,M,92,"The Data Science assignments are challenging but rewarding.,",10,54
Student122,M,100,"I find the Data Science course material engaging and relevant.,",4,20
Student123,M,87,I find the Data Science course material engaging and relevant.!,8,40
Student124,F,78,The instructor explanations in Data Science lectures are clear and easy to understand.:,9,50
Student125,F,99,I am enjoying learning about Data Science and its applications.;,1,9
Student126,F,72,"I liked this course very much. The way it is organised to collect different data scientists opinions about the same topic, make it very valuable to the ones who are starting the road to Data Science.!",8,44
Student127,M,92,"I wish there were more interactive sessions in the Data Science course.,",8,35
Student128,M,95,I would like more resources for self-study in Data Science.:,5,24
Student129,M,92,"Great course!,",10,51
Student130,F,85,"I throughly enjoyed the course and the fact that everything was explained thoroughly. I always enjoyed Dr. White personal experience with Data Science as well as other Data Scientists point of view. ,",2,9
Student131,F,73,"Poor course overall, not much ""meat"". An introduction to the subject that could have been given in one hour of lessons. !",12,62
Student132,F,83,"The Data Science lab sessions provide valuable hands-on experience.,",7,30
Student133,M,73,The instructor explanations in Data Science lectures are clear and easy to understand.;,14,73
Student134,F,97,Interesting topics!,11,51
Student135,F,87,"I appreciate the guest lectures by industry professionals in the Data Science course.,",11,57
Student136,M,87,"Very learning experience, I am a beginner in DS, but the instructors in this course simplified the contents that made me I could easily understand, tools and materials were very helpful to start with. ,",5,24
Student137,F,87,Great course!;,15,79
Student138,F,97,Enjoyed the lectures?,12,61
Student139,F,96,I find the practical exercises in Data Science very helpful.?,5,30
Student140,?,90,Enjoyed the lectures:,6,35
Student141,M,72,"I liked this course very much. The way it is organised to collect different data scientists opinions about the same topic, make it very valuable to the ones who are starting the road to Data Science.?",12,61
Student142,M,95,Too much theory!,10,45
Student143,M,76,"I appreciate the guest lectures by industry professionals in the Data Science course.,",8,42
Student144,M,82,I find the Data Science course material engaging and relevant.;,11,52
Student145,F,76,"very useful. i liked and enjoyed the journey of learning in these five weeks. the instructor is very clear and taught very interestingly. Thanks to her. she looked poised and cheerful and professional ,",1,3
Student146,M,91,Needs more practical sessions?,3,12
Student147,M,82,I wish there were more interactive sessions in the Data Science course.?,12,65
Student148,M,93,"Poor course overall, not much ""meat"". An introduction to the subject that could have been given in one hour of lessons. !",7,31
Student149,M,96,This course is not consistent with someone who would sign up for an entire certificate. This course is more suitable as a recruitment tool for a certificate program. Watching these videos was an absolute waste of my time.,14,71
Student150,F,73,I throughly enjoyed the course and the fact that everything was explained thoroughly. I always enjoyed Dr. White personal experience with Data Science as well as other Data Scientists point of view. :,11,59
Student151,M,85,very useful. i liked and enjoyed the journey of learning in these five weeks. the instructor is very clear and taught very interestingly. Thanks to her. she looked poised and cheerful and professional ;,9,44
Student152,F,94,I wish there were more interactive sessions in the Data Science course.!,10,51
Student153,F,97,I throughly enjoyed the course and the fact that everything was explained thoroughly. I always enjoyed Dr. White personal experience with Data Science as well as other Data Scientists point of view. ?,2,5
Student154,F,97,The Data Science course content is comprehensive and well-structured.!,4,24
Student155,M,84,The Data Science lab sessions provide valuable hands-on experience.:,11,51
Student156,F,82,I would like more resources for self-study in Data Science.?,4,20
Student157,M,79,"Terrific introduction to the Data Science course. Never expected but was extremely excited with the quality of content, speakers and a very honest attempt to making this course interesting. ;",11,55
Student158,M,79,The Data Science course content is comprehensive and well-structured.!,7,32
Student159,F,74,"Interesting topics,",5,29
Student160,F,73,I find the Data Science course material engaging and relevant.!,12,55
Student161,F,88,I throughly enjoyed the course and the fact that everything was explained thoroughly. I always enjoyed Dr. White personal experience with Data Science as well as other Data Scientists point of view. :,11,52
Student162,F,99,"Poor course overall, not much ""meat"". An introduction to the subject that could have been given in one hour of lessons. :",5,23
Student163,F,84,I appreciate the guest lectures by industry professionals in the Data Science course.:,7,30
Student164,F,78,I wish there were more interactive sessions in the Data Science course.?,12,61
Student165,M,85,very useful. i liked and enjoyed the journey of learning in these five weeks. the instructor is very clear and taught very interestingly. Thanks to her. she looked poised and cheerful and professional :,15,72
Student166,M,97,"I liked this course very much. The way it is organised to collect different data scientists opinions about the same topic, make it very valuable to the ones who are starting the road to Data Science.;",2,12
Student167,F,100,"Terrific introduction to the Data Science course. Never expected but was extremely excited with the quality of content, speakers and a very honest attempt to making this course interesting. :",8,41
Student168,M,73,"I find the practical exercises in Data Science very helpful.,",6,30
Student169,M,94,"Terrific introduction to the Data Science course. Never expected but was extremely excited with the quality of content, speakers and a very honest attempt to making this course interesting. ;",5,27
Student170,M,80,The Data Science lab sessions provide valuable hands-on experience.!,15,78
Student171,M,86,I wish there were more interactive sessions in the Data Science course.!,12,56
Student172,M,90,Enjoyed the lectures;,1,9
Student173,F,70,"Needs more practical sessions,",14,73
Student174,F,78,"Interesting topics,",2,14
Student175,M,81,"Poor course overall, not much ""meat"". An introduction to the subject that could have been given in one hour of lessons. :",6,29
Student176,M,92,I find the Data Science course material engaging and relevant.!,6,25
Student177,F,81,"I liked this course very much. The way it is organised to collect different data scientists opinions about the same topic, make it very valuable to the ones who are starting the road to Data Science.,",13,60
Student178,F,79,"I throughly enjoyed the course and the fact that everything was explained thoroughly. I always enjoyed Dr. White personal experience with Data Science as well as other Data Scientists point of view. ,",11,56
Student179,M,78,"Terrific introduction to the Data Science course. Never expected but was extremely excited with the quality of content, speakers and a very honest attempt to making this course interesting. !",9,45
Student180,F,90,Interesting topics?,11,59
Student181,F,95,The Data Science assignments are challenging but rewarding.;,6,33
Student182,M,99,This course is not consistent with someone who would sign up for an entire certificate. This course is more suitable as a recruitment tool for a certificate program. Watching these videos was an absolute waste of my time.,1,0
Student183,M,94,Good for fundamental knowledge of data science and data scientists. It is also inspiring for young people like me to get ready to step into the world of data science.?,12,64
Student184,F,89,very useful. i liked and enjoyed the journey of learning in these five weeks. the instructor is very clear and taught very interestingly. Thanks to her. she looked poised and cheerful and professional ;,7,39
Student185,M,85,Great course!?,12,64
Student186,M,82,"Terrific introduction to the Data Science course. Never expected but was extremely excited with the quality of content, speakers and a very honest attempt to making this course interesting. ;",3,19
Student187,?,72,"Too much theory,",8,41
Student188,M,87,Interesting topics?,6,32
Student189,F,73,I am enjoying learning about Data Science and its applications.?,3,19
Student190,M,88,I find the Data Science course material engaging and relevant.;,3,13
Student191,F,94,"Good for fundamental knowledge of data science and data scientists. It is also inspiring for young people like me to get ready to step into the world of data science.,",13,60
Student192,M,82,I am enjoying learning about Data Science and its applications.:,8,45
Student193,M,97,Good for fundamental knowledge of data science and data scientists. It is also inspiring for young people like me to get ready to step into the world of data science.:,6,35
Student194,M,97,The instructor explanations in Data Science lectures are clear and easy to understand.?,2,7
Student195,M,82,Great course!:,3,11
Student196,M,81,I find the practical exercises in Data Science very helpful.!,12,57
Student197,M,93,I appreciate the guest lectures by industry professionals in the Data Science course.!,15,75
Student198,M,97,"very useful. i liked and enjoyed the journey of learning in these five weeks. the instructor is very clear and taught very interestingly. Thanks to her. she looked poised and cheerful and professional ,",6,34
Student199,M,70,The Data Science course content is comprehensive and well-structured.;,14,67
Student200,F,71,Too much theory;,14,74
Student201,F,72,The Data Science lab sessions provide valuable hands-on experience.?,7,33
Student202,F,91,Interesting topics;,4,15
Student203,F,90,Interesting topics?,8,40
Student204,F,96,"Very learning experience, I am a beginner in DS, but the instructors in this course simplified the contents that made me I could easily understand, tools and materials were very helpful to start with. ,",3,11
Student205,M,90,The Data Science course content is comprehensive and well-structured.:,14,68
Student206,M,91,The Data Science assignments are challenging but rewarding.:,6,29
Student207,M,82,This course is not consistent with someone who would sign up for an entire certificate. This course is more suitable as a recruitment tool for a certificate program. Watching these videos was an absolute waste of my time.,7,34
Student208,M,81,Good for fundamental knowledge of data science and data scientists. It is also inspiring for young people like me to get ready to step into the world of data science.!,8,38
Student209,F,85,"Terrific introduction to the Data Science course. Never expected but was extremely excited with the quality of content, speakers and a very honest attempt to making this course interesting. ,",11,52
Student210,F,83,"I find the Data Science course material engaging and relevant.,",15,73
Student211,F,93,The Data Science assignments are challenging but rewarding.:,4,17
Student212,F,83,"I liked this course very much. The way it is organised to collect different data scientists opinions about the same topic, make it very valuable to the ones who are starting the road to Data Science.!",5,22
Student213,M,86,"Terrific introduction to the Data Science course. Never expected but was extremely excited with the quality of content, speakers and a very honest attempt to making this course interesting. ?",6,28
Student214,M,74,"Very learning experience, I am a beginner in DS, but the instructors in this course simplified the contents that made me I could easily understand, tools and materials were very helpful to start with. !",1,8
Student215,M,75,"Interesting topics,",12,63
Student216,F,96,Enjoyed the lectures;,9,47
Student217,F,79,Too much theory;,3,13
Student218,M,96,"Poor course overall, not much ""meat"". An introduction to the subject that could have been given in one hour of lessons. ;",2,6
Student219,M,91,The instructor explanations in Data Science lectures are clear and easy to understand.;,11,58
Student220,M,78,I find the Data Science course material engaging and relevant.?,7,35
Student221,F,95,I appreciate the guest lectures by industry professionals in the Data Science course.:,11,57
Student222,?,76,I find the practical exercises in Data Science very helpful.:,11,53
Student223,M,73,I wish there were more interactive sessions in the Data Science course.;,14,72
Student224,F,92,Too much theory:,4,20
Student225,M,76,Interesting topics:,4,20
Student226,M,80,"I would like more resources for self-study in Data Science.,",10,50
Student227,M,96,I wish there were more interactive sessions in the Data Science course.;,15,78
Student228,F,75,"Poor course overall, not much ""meat"". An introduction to the subject that could have been given in one hour of lessons. ,",9,40
Student229,F,85,"I find the Data Science course material engaging and relevant.,",7,30
Student230,F,85,I would like more resources for self-study in Data Science.!,9,44
Student231,F,93,Great course!;,1,0
Student232,F,93,I throughly enjoyed the course and the fact that everything was explained thoroughly. I always enjoyed Dr. White personal experience with Data Science as well as other Data Scientists point of view. ;,3,19
Student233,M,98,"Great course!,",10,53
Student234,M,82,The Data Science course content is comprehensive and well-structured.!,11,53
Student235,F,95,The instructor explanations in Data Science lectures are clear and easy to understand.!,10,46
Student236,F,81,Too much theory!,13,62
Student237,M,98,This course is not consistent with someone who would sign up for an entire certificate. This course is more suitable as a recruitment tool for a certificate program. Watching these videos was an absolute waste of my time.,12,63
Student238,F,91,I am enjoying learning about Data Science and its applications.!,?,75
Student239,F,96,Too much theory!,6,32
Student240,F,71,I am enjoying learning about Data Science and its applications.:,14,67
Student241,F,90,The Data Science assignments are challenging but rewarding.!,11,57
Student242,M,82,"Very learning experience, I am a beginner in DS, but the instructors in this course simplified the contents that made me I could easily understand, tools and materials were very helpful to start with. ,",13,63
Student243,F,70,I wish there were more interactive sessions in the Data Science course.?,1,5
Student244,M,79,"The Data Science assignments are challenging but rewarding.,",14,68
Student245,F,95,The instructor explanations in Data Science lectures are clear and easy to understand.;,5,30
Student246,F,99,I find the Data Science course material engaging and relevant.!,14,69
Student247,M,97,I appreciate the guest lectures by industry professionals in the Data Science course.!,4,24
Student248,M,98,"Needs more practical sessions,",14,73
Student249,F,79,I find the Data Science course material engaging and relevant.?,4,16
Student250,M,99,I find the Data Science course material engaging and relevant.!,14,73
Student251,M,97,"Needs more practical sessions,",14,67
Student252,M,98,This course is not consistent with someone who would sign up for an entire certificate. This course is more suitable as a recruitment tool for a certificate program. Watching these videos was an absolute waste of my time.,12,59
Student253,F,100,The Data Science assignments are challenging but rewarding.?,,36
Student254,F,80,Too much theory!,14,66
Student255,F,78,"very useful. i liked and enjoyed the journey of learning in these five weeks. the instructor is very clear and taught very interestingly. Thanks to her. she looked poised and cheerful and professional ,",5,23
Student256,F,73,"Poor course overall, not much ""meat"". An introduction to the subject that could have been given in one hour of lessons. ?",7,30
Student257,M,86,Too much theory?,1,10
Student258,F,88,Enjoyed the lectures?,11,52
Student259,F,79,"I am enjoying learning about Data Science and its applications.,",14,70
Student260,F,82,I would like more resources for self-study in Data Science.;,15,71
Student261,M,100,I am enjoying learning about Data Science and its applications.:,9,47
Student262,M,71,Very nice course and it has a piece of very nice information taught by professionals. The content is related to the practical application of concepts which increase interest in you to proceed further!,8,41
Student263,F,78,"Terrific introduction to the Data Science course. Never expected but was extremely excited with the quality of content, speakers and a very honest attempt to making this course interesting. :",7,32
Student264,M,76,Very nice course and it has a piece of very nice information taught by professionals. The content is related to the practical application of concepts which increase interest in you to proceed further!,15,70
Student265,M,95,The Data Science course content is comprehensive and well-structured.!,10,54
Student266,F,79,"Poor course overall, not much ""meat"". An introduction to the subject that could have been given in one hour of lessons. :",2,8
Student267,M,81,"Poor course overall, not much ""meat"". An introduction to the subject that could have been given in one hour of lessons. :",11,53
Student268,M,100,Great course!:,6,35
Student269,F,91,"I appreciate the guest lectures by industry professionals in the Data Science course.,",14,69
Student270,F,89,Great course!!,4,17
Student271,M,80,I appreciate the guest lectures by industry professionals in the Data Science course.:,,20
Student272,F,73,"Terrific introduction to the Data Science course. Never expected but was extremely excited with the quality of content, speakers and a very honest attempt to making this course interesting. ;",13,61
Student273,M,81,Interesting topics;,8,36
Student274,M,81,Very nice course and it has a piece of very nice information taught by professionals. The content is related to the practical application of concepts which increase interest in you to proceed further?,14,72
Student275,F,92,"Very learning experience, I am a beginner in DS, but the instructors in this course simplified the contents that made me I could easily understand, tools and materials were very helpful to start with. !",4,21
