Student Name,Gender,Attendance,Feedback,Study Hours,Data Science Marks
Student1,F,0.0,data scienc cours content comprehens well structur,0.9285714285714286,0.8625
Student2,M,0.7666666666666667,data scienc lab session provid valuabl hand experi,0.2857142857142857,0.3625
Student3,F,0.6,find practic exercis data scienc help,0.14285714285714285,0.2125
Student4,F,0.13333333333333333,like cours much way organis collect differ data scientist opinion topic make valuabl one start road data scienc,1.0,0.8875
Student5,M,0.8333333333333334,throughli enjoy cours fact everyth explain thoroughli alway enjoy dr white person experi data scienc well data scientist point view,0.6428571428571429,0.5625
Student6,F,0.8666666666666667,enjoy lectur,0.5,0.45
Student7,F,0.6666666666666666,like cours much way organis collect differ data scientist opinion topic make valuabl one start road data scienc,1.0,0.9375
Student8,M,0.7,throughli enjoy cours fact everyth explain thoroughli alway enjoy dr white person experi data scienc well data scientist point view,0.9285714285714286,0.85
Student9,F,0.2,much theori,1.0,0.9625
Student10,F,0.3333333333333333,need practic session,0.42857142857142855,0.475
Student11,M,0.0,nice cours piec nice inform taught profession content relat practic applic concept increas interest proceed,0.5714285714285714,0.6
Student12,M,0.7,much theori,0.7857142857142857,0.7375
Student13,F,0.03333333333333333,find data scienc cours materi engag relev,0.0,0.0625
Student14,F,0.43333333333333335,data scienc cours content comprehens well structur,0.07142857142857142,0.1875
Student15,M,0.3,data scienc cours content comprehens well structur,0.07142857142857142,0.1875
Student16,F,0.06666666666666667,wish interact session data scienc cours,0.0,0.075
Student17,M,0.43333333333333335,interest topic,0.5,0.475
Student18,F,0.13333333333333333,find practic exercis data scienc help,0.7857142857142857,0.8
Student19,M,0.5333333333333333,appreci guest lectur industri profession data scienc cours,0.21428571428571427,0.2125
Student21,M,0.0,good fundament knowledg data scienc data scientist also inspir young peopl like get readi step world data scienc,0.6428571428571429,0.675
Student22,M,0.7666666666666667,enjoy lectur,1.0,0.9125
Student23,F,0.3333333333333333,use like enjoy journey learn five week instructor clear taught interestingli thank look poi cheer profession,0.0,0.1
Student24,F,0.9,data scienc assign challeng reward,0.5,0.4875
Student25,M,0.16666666666666666,nice cours piec nice inform taught profession content relat practic applic concept increas interest proceed,0.7142857142857143,0.625
Student26,M,0.5,data scienc cours content comprehens well structur,0.5,0.4875
Student27,M,0.8666666666666667,much theori,0.7142857142857143,0.6875
Student28,F,0.43333333333333335,instructor explan data scienc lectur clear easi understand,0.6428571428571429,0.675
Student29,M,0.5333333333333333,find data scienc cours materi engag relev,0.7857142857142857,0.75
Student30,F,0.4666666666666667,cours consist someon would sign entir certif cours suitabl recruit tool certif program watch video absolut wast time,0.14285714285714285,0.175
Student31,F,0.43333333333333335,would like resourc self studi data scienc,0.5714285714285714,0.5875
Student32,M,0.2,appreci guest lectur industri profession data scienc cours,1.0,0.925
Student33,F,0.3,data scienc lab session provid valuabl hand experi,0.2857142857142857,0.375
Student34,F,0.6,find practic exercis data scienc help,0.2857142857142857,0.3625
Student35,M,0.2,would like resourc self studi data scienc,0.7857142857142857,0.7125
Student36,F,0.4666666666666667,data scienc cours content comprehens well structur,0.9285714285714286,0.8375
Student37,M,0.8666666666666667,terrif introduct data scienc cours never expect extrem excit qualiti content speaker honest attempt make cours interest,0.2857142857142857,0.2875
Student38,F,0.7666666666666667,terrif introduct data scienc cours never expect extrem excit qualiti content speaker honest attempt make cours interest,0.0,0.1125
Student39,M,0.8333333333333334,find data scienc cours materi engag relev,0.9285714285714286,0.9
Student40,F,0.43333333333333335,would like resourc self studi data scienc,0.6428571428571429,0.6625
Student41,F,0.4666666666666667,nice cours piec nice inform taught profession content relat practic applic concept increas interest proceed,0.07142857142857142,0.1375
Student42,F,0.6,enjoy learn data scienc applic,0.0,0.0125
Student43,M,0.6666666666666666,like cours much way organis collect differ data scientist opinion topic make valuabl one start road data scienc,0.07142857142857142,0.1625
Student44,F,0.8333333333333334,much theori,0.5714285714285714,0.5625
Student45,F,0.5,nice cours piec nice inform taught profession content relat practic applic concept increas interest proceed,0.5714285714285714,0.5625
Student46,F,0.03333333333333333,interest topic,0.8571428571428571,0.8125
Student47,M,0.9666666666666667,nice cours piec nice inform taught profession content relat practic applic concept increas interest proceed,0.9285714285714286,0.8125
Student48,M,0.03333333333333333,nice cours piec nice inform taught profession content relat practic applic concept increas interest proceed,0.2857142857142857,0.35
Student49,M,0.0,enjoy lectur,0.21428571428571427,0.25
Student50,F,0.5,use like enjoy journey learn five week instructor clear taught interestingli thank look poi cheer profession,0.8571428571428571,0.825
Student51,F,0.6,would like resourc self studi data scienc,0.07142857142857142,0.0625
Student52,M,0.1,data scienc assign challeng reward,0.35714285714285715,0.3625
Student53,M,0.06666666666666667,much theori,0.8571428571428571,0.775
Student54,F,0.3333333333333333,nice cours piec nice inform taught profession content relat practic applic concept increas interest proceed,0.5714285714285714,0.6
Student55,F,0.7666666666666667,instructor explan data scienc lectur clear easi understand,0.8571428571428571,0.7625
Student56,F,0.5333333333333333,enjoy learn data scienc applic,0.5,0.475
Student57,M,0.13333333333333333,learn experi beginn d instructor cours simplifi content made could easili understand tool materi help start,0.6428571428571429,0.5875
Student58,F,0.7333333333333333,find practic exercis data scienc help,0.21428571428571427,0.2875
Student59,M,0.9333333333333333,enjoy learn data scienc applic,0.35714285714285715,0.3375
Student60,M,0.26666666666666666,like cours much way organis collect differ data scientist opinion topic make valuabl one start road data scienc,0.7142857142857143,0.625
Student61,M,0.0,data scienc assign challeng reward,0.9285714285714286,0.9
Student62,M,0.8,great cours,0.5714285714285714,0.5
Student63,F,0.8666666666666667,instructor explan data scienc lectur clear easi understand,0.6428571428571429,0.6875
Student64,M,0.26666666666666666,interest topic,0.6428571428571429,0.5625
Student65,F,0.1,appreci guest lectur industri profession data scienc cours,1.0,0.95
Student66,M,0.5,find practic exercis data scienc help,0.7142857142857143,0.725
Student67,M,0.4666666666666667,good fundament knowledg data scienc data scientist also inspir young peopl like get readi step world data scienc,0.21428571428571427,0.225
Student68,M,0.3,nice cours piec nice inform taught profession content relat practic applic concept increas interest proceed,0.5714285714285714,0.6125
Student69,M,0.13333333333333333,enjoy learn data scienc applic,0.7857142857142857,0.725
Student70,F,0.5,data scienc lab session provid valuabl hand experi,0.5,0.4875
Student71,F,0.16666666666666666,find data scienc cours materi engag relev,0.14285714285714285,0.175
Student72,F,0.5,data scienc lab session provid valuabl hand experi,0.5714285714285714,0.5125
Student73,F,0.1,great cours,0.8571428571428571,0.85
Student74,M,0.7,data scienc cours content comprehens well structur,0.7857142857142857,0.8
Student75,F,0.6666666666666666,enjoy learn data scienc applic,0.2857142857142857,0.35
Student76,F,0.4666666666666667,enjoy learn data scienc applic,0.0,0.1
Student77,M,0.06666666666666667,data scienc lab session provid valuabl hand experi,0.7142857142857143,0.725
Student78,M,0.6,great cours,0.5,0.4375
Student79,M,0.26666666666666666,use like enjoy journey learn five week instructor clear taught interestingli thank look poi cheer profession,0.2857142857142857,0.3375
Student80,F,0.13333333333333333,use like enjoy journey learn five week instructor clear taught interestingli thank look poi cheer profession,0.2857142857142857,0.3375
Student81,F,0.5,good fundament knowledg data scienc data scientist also inspir young peopl like get readi step world data scienc,0.07142857142857142,0.1
Student82,M,0.8666666666666667,data scienc cours content comprehens well structur,0.5714285714285714,0.6125
Student83,F,0.06666666666666667,nice cours piec nice inform taught profession content relat practic applic concept increas interest proceed,0.35714285714285715,0.3125
Student84,M,0.23333333333333334,appreci guest lectur industri profession data scienc cours,0.7142857142857143,0.625
Student85,M,0.7666666666666667,data scienc lab session provid valuabl hand experi,0.6428571428571429,0.5625
Student86,F,0.43333333333333335,data scienc assign challeng reward,0.7857142857142857,0.7125
Student87,M,0.9666666666666667,nice cours piec nice inform taught profession content relat practic applic concept increas interest proceed,0.14285714285714285,0.2375
Student88,F,0.9333333333333333,find practic exercis data scienc help,0.42857142857142855,0.4
Student89,M,0.06666666666666667,data scienc assign challeng reward,0.07142857142857142,0.1
Student90,M,0.5,poor cours overal much meat introduct subject could given one hour lesson,0.42857142857142855,0.5
Student91,M,0.2,data scienc cours content comprehens well structur,0.7857142857142857,0.7
Student92,M,0.26666666666666666,good fundament knowledg data scienc data scientist also inspir young peopl like get readi step world data scienc,1.0,1.0
Student93,F,0.06666666666666667,instructor explan data scienc lectur clear easi understand,0.7142857142857143,0.75
Student94,M,0.23333333333333334,use like enjoy journey learn five week instructor clear taught interestingli thank look poi cheer profession,0.07142857142857142,0.1625
Student95,M,0.9,nice cours piec nice inform taught profession content relat practic applic concept increas interest proceed,0.7142857142857143,0.7375
Student96,F,0.36666666666666664,wish interact session data scienc cours,0.2857142857142857,0.35
Student97,M,0.5333333333333333,cours consist someon would sign entir certif cours suitabl recruit tool certif program watch video absolut wast time,0.6428571428571429,0.675
Student98,F,0.9,good fundament knowledg data scienc data scientist also inspir young peopl like get readi step world data scienc,0.8571428571428571,0.825
Student99,F,0.43333333333333335,enjoy lectur,0.6428571428571429,0.575
Student100,F,0.5,enjoy learn data scienc applic,0.8571428571428571,0.775
Student101,M,0.6,good fundament knowledg data scienc data scientist also inspir young peopl like get readi step world data scienc,1.0,0.9625
Student102,F,0.9,throughli enjoy cours fact everyth explain thoroughli alway enjoy dr white person experi data scienc well data scientist point view,0.5714285714285714,0.6
Student103,M,0.1,much theori,0.8571428571428571,0.7875
Student104,F,0.06666666666666667,need practic session,0.5714285714285714,0.6
Student105,F,0.4,would like resourc self studi data scienc,0.35714285714285715,0.35
Student106,F,0.26666666666666666,instructor explan data scienc lectur clear easi understand,0.14285714285714285,0.1375
Student107,M,0.4,much theori,1.0,0.95
Student108,F,0.9333333333333333,enjoy learn data scienc applic,0.7857142857142857,0.7875
Student109,F,0.36666666666666664,learn experi beginn d instructor cours simplifi content made could easili understand tool materi help start,0.21428571428571427,0.2
Student110,M,0.8333333333333334,wish interact session data scienc cours,0.21428571428571427,0.275
Student111,F,0.6666666666666666,great cours,0.5714285714285714,0.5625
Student112,F,0.4666666666666667,instructor explan data scienc lectur clear easi understand,0.21428571428571427,0.2875
Student113,F,0.06666666666666667,enjoy lectur,0.21428571428571427,0.2375
Student114,M,0.06666666666666667,nice cours piec nice inform taught profession content relat practic applic concept increas interest proceed,0.2857142857142857,0.25
Student115,F,0.8666666666666667,appreci guest lectur industri profession data scienc cours,0.35714285714285715,0.3625
Student116,M,0.03333333333333333,great cours,0.5,0.55
